,links,attribute,faculty,program
506,https://www.uwo.ca/ipb/databook/09/cheetb09.html,Undergraduate Grade Distribution,ENGINEERING,CHEMICAL and BIOCHEMICAL ENGINEERING
507,https://www.uwo.ca/ipb/databook/09/civetb09.html,Undergraduate Grade Distribution,ENGINEERING,CIVIL and ENVIRONMENTAL ENGINEERING
508,https://www.uwo.ca/ipb/databook/09/eleetb09.html,Undergraduate Grade Distribution,ENGINEERING,ELECTRICAL and COMPUTER ENGINEERING
509,https://www.uwo.ca/ipb/databook/09/m_metb09.html,Undergraduate Grade Distribution,ENGINEERING,MECHANICAL and MATERIALS ENGINEERING
510,https://www.uwo.ca/ipb/databook/09/bmeatb09.html,Undergraduate Grade Distribution,ENGINEERING,BIOMEDICAL ENGINEERING
511,https://www.uwo.ca/ipb/databook/09/engstb09.html,Undergraduate Grade Distribution,ENGINEERING,ENGINEERING SCIENCE
512,https://www.uwo.ca/ipb/databook/09/mse_tb09.html,Undergraduate Grade Distribution,ENGINEERING,MECHATRONIC SYSTEM ENGINEERING
513,https://www.uwo.ca/ipb/databook/09/auhstb09.html,Undergraduate Grade Distribution,HEALTH SCIENCES,HEALTH SCIENCES
514,https://www.uwo.ca/ipb/databook/09/bhsctb09.html,Undergraduate Grade Distribution,HEALTH SCIENCES,HEALTH STUDIES
515,https://www.uwo.ca/ipb/databook/09/cd__tb09.html,Undergraduate Grade Distribution,HEALTH SCIENCES,COMMUNICATION SCIENCES and DISORDERS
516,https://www.uwo.ca/ipb/databook/09/kinetb09.html,Undergraduate Grade Distribution,HEALTH SCIENCES,KINESIOLOGY
517,https://www.uwo.ca/ipb/databook/09/nurstb09.html,Undergraduate Grade Distribution,HEALTH SCIENCES,NURSING
518,https://www.uwo.ca/ipb/databook/09/auimtb09.html,Undergraduate Grade Distribution,INFORMATION and MEDIA STUDIES,INFORMATION and MEDIA STUDIES
519,https://www.uwo.ca/ipb/databook/09/digitb09.html,Undergraduate Grade Distribution,INFORMATION and MEDIA STUDIES,DIGITAL COMMUNICATION
520,https://www.uwo.ca/ipb/databook/09/mit_tb09.html,Undergraduate Grade Distribution,INFORMATION and MEDIA STUDIES,"MEDIA, INFORMATION and TECHNOCULTURE"
521,https://www.uwo.ca/ipb/databook/09/aul_tb09.html,Undergraduate Grade Distribution,LAW,CROSS-UNIT TEACHING
522,https://www.uwo.ca/ipb/databook/09/aum_tb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),BASIC MEDICAL SCIENCES
523,https://www.uwo.ca/ipb/databook/09/anattb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),ANATOMY and CELL BIOLOGY
524,https://www.uwo.ca/ipb/databook/09/bioctb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),BIOCHEMISTRY
525,https://www.uwo.ca/ipb/databook/09/epidtb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),EPIDEMIOLOGY and BIOSTATISTICS
526,https://www.uwo.ca/ipb/databook/09/hms_tb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),HISTORY OF MEDICINE
527,https://www.uwo.ca/ipb/databook/09/bioptb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),MEDICAL BIOPHYSICS
528,https://www.uwo.ca/ipb/databook/09/m_i_tb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),MICROBIOLOGY and IMMUNOLOGY
529,https://www.uwo.ca/ipb/databook/09/pathtb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),PATHOLOGY and LABORATORY MEDICINE
530,https://www.uwo.ca/ipb/databook/09/p_p_tb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),PHYSIOLOGY and PHARMACOLOGY
531,https://www.uwo.ca/ipb/databook/09/imsatb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),INTERDISCIPLINARY MEDICAL SCIENCES
532,https://www.uwo.ca/ipb/databook/09/neustb09.html,Undergraduate Grade Distribution,MEDICINE and DENTISTRY (MEDICINE),NEUROSCIENCE
533,https://www.uwo.ca/ipb/databook/09/aumutb09.html,Undergraduate Grade Distribution,MUSIC,MUSIC
534,https://www.uwo.ca/ipb/databook/09/aus_tb09.html,Undergraduate Grade Distribution,SCIENCE,SCIENCE
535,https://www.uwo.ca/ipb/databook/09/appmtb09.html,Undergraduate Grade Distribution,SCIENCE,APPLIED MATHEMATICS
536,https://www.uwo.ca/ipb/databook/09/bioltb09.html,Undergraduate Grade Distribution,SCIENCE,BIOLOGY
537,https://www.uwo.ca/ipb/databook/09/chemtb09.html,Undergraduate Grade Distribution,SCIENCE,CHEMISTRY
538,https://www.uwo.ca/ipb/databook/09/cscitb09.html,Undergraduate Grade Distribution,SCIENCE,COMPUTER SCIENCE
539,https://www.uwo.ca/ipb/databook/09/escitb09.html,Undergraduate Grade Distribution,SCIENCE,EARTH SCIENCES
540,https://www.uwo.ca/ipb/databook/09/mathtb09.html,Undergraduate Grade Distribution,SCIENCE,MATHEMATICS
541,https://www.uwo.ca/ipb/databook/09/p_a_tb09.html,Undergraduate Grade Distribution,SCIENCE,PHYSICS and ASTRONOMY
542,https://www.uwo.ca/ipb/databook/09/sas_tb09.html,Undergraduate Grade Distribution,SCIENCE,STATISTICAL and ACTUARIAL SCIENCES
543,https://www.uwo.ca/ipb/databook/09/envitb09.html,Undergraduate Grade Distribution,SCIENCE,ENVIRONMENTAL SCIENCE
544,https://www.uwo.ca/ipb/databook/09/ausstb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,SOCIAL SCIENCE
545,https://www.uwo.ca/ipb/databook/09/anthtb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,ANTHROPOLOGY
546,https://www.uwo.ca/ipb/databook/09/econtb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,ECONOMICS
547,https://www.uwo.ca/ipb/databook/09/geogtb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,GEOGRAPHY and ENVIRONMENT
548,https://www.uwo.ca/ipb/databook/09/histtb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,HISTORY
549,https://www.uwo.ca/ipb/databook/09/caistb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,MANAGEMENT and ORGANIZATIONAL STUDIES
550,https://www.uwo.ca/ipb/databook/09/polstb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,POLITICAL SCIENCE
551,https://www.uwo.ca/ipb/databook/09/psyctb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,PSYCHOLOGY
552,https://www.uwo.ca/ipb/databook/09/soc_tb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,SOCIOLOGY
553,https://www.uwo.ca/ipb/databook/09/as__tb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,AMERICAN STUDIES
554,https://www.uwo.ca/ipb/databook/09/fnattb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,INDIGENOUS STUDIES
555,https://www.uwo.ca/ipb/databook/09/ir__tb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,INTERNATIONAL RELATIONS
556,https://www.uwo.ca/ipb/databook/09/ppe_tb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,"POLITICS, PHILOSOPHY and ECONOMICS"
557,https://www.uwo.ca/ipb/databook/09/justtb09.html,Undergraduate Grade Distribution,SOCIAL SCIENCE,TRANSITIONAL JUSTICE and POST-CONFLICT RECONSTRUCTION
558,https://www.uwo.ca/ipb/databook/09/se__tb09.html,Undergraduate Grade Distribution,SCHOLARS ELECTIVES,SCHOLARS ELECTIVES
559,https://www.uwo.ca/ipb/databook/10/auartb10.html,Research Expenditures,ARTS and HUMANITIES,ARTS and HUMANITIES
560,https://www.uwo.ca/ipb/databook/10/clsttb10.html,Research Expenditures,ARTS and HUMANITIES,CLASSICAL STUDIES
561,https://www.uwo.ca/ipb/databook/10/engltb10.html,Research Expenditures,ARTS and HUMANITIES,ENGLISH and WRITING STUDIES
562,https://www.uwo.ca/ipb/databook/10/filmtb10.html,Research Expenditures,ARTS and HUMANITIES,FILM STUDIES
563,https://www.uwo.ca/ipb/databook/10/frentb10.html,Research Expenditures,ARTS and HUMANITIES,FRENCH STUDIES
564,https://www.uwo.ca/ipb/databook/10/ws__tb10.html,Research Expenditures,ARTS and HUMANITIES,"GENDER, SEXUALITY, and WOMEN'S STUDIES"
565,https://www.uwo.ca/ipb/databook/10/mll_tb10.html,Research Expenditures,ARTS and HUMANITIES,LANGUAGES and CULTURES
566,https://www.uwo.ca/ipb/databook/10/philtb10.html,Research Expenditures,ARTS and HUMANITIES,PHILOSOPHY
567,https://www.uwo.ca/ipb/databook/10/vsartb10.html,Research Expenditures,ARTS and HUMANITIES,VISUAL ARTS
568,https://www.uwo.ca/ipb/databook/10/aub_tb10.html,Research Expenditures,BUSINESS,BUSINESS
569,https://www.uwo.ca/ipb/databook/10/auedtb10.html,Research Expenditures,EDUCATION,EDUCATION
570,https://www.uwo.ca/ipb/databook/10/aue_tb10.html,Research Expenditures,ENGINEERING,ENGINEERING
571,https://www.uwo.ca/ipb/databook/10/cheetb10.html,Research Expenditures,ENGINEERING,CHEMICAL and BIOCHEMICAL ENGINEERING
572,https://www.uwo.ca/ipb/databook/10/civetb10.html,Research Expenditures,ENGINEERING,CIVIL and ENVIRONMENTAL ENGINEERING
573,https://www.uwo.ca/ipb/databook/10/eleetb10.html,Research Expenditures,ENGINEERING,ELECTRICAL and COMPUTER ENGINEERING
574,https://www.uwo.ca/ipb/databook/10/m_metb10.html,Research Expenditures,ENGINEERING,MECHANICAL and MATERIALS ENGINEERING
575,https://www.uwo.ca/ipb/databook/10/auhstb10.html,Research Expenditures,HEALTH SCIENCES,HEALTH SCIENCES
576,https://www.uwo.ca/ipb/databook/10/bhsctb10.html,Research Expenditures,HEALTH SCIENCES,HEALTH STUDIES
577,https://www.uwo.ca/ipb/databook/10/cd__tb10.html,Research Expenditures,HEALTH SCIENCES,COMMUNICATION SCIENCES and DISORDERS
578,https://www.uwo.ca/ipb/databook/10/kinetb10.html,Research Expenditures,HEALTH SCIENCES,KINESIOLOGY
579,https://www.uwo.ca/ipb/databook/10/nurstb10.html,Research Expenditures,HEALTH SCIENCES,NURSING
580,https://www.uwo.ca/ipb/databook/10/ot__tb10.html,Research Expenditures,HEALTH SCIENCES,OCCUPATIONAL THERAPY
581,https://www.uwo.ca/ipb/databook/10/pt__tb10.html,Research Expenditures,HEALTH SCIENCES,PHYSICAL THERAPY
582,https://www.uwo.ca/ipb/databook/10/auimtb10.html,Research Expenditures,INFORMATION and MEDIA STUDIES,INFORMATION and MEDIA STUDIES
583,https://www.uwo.ca/ipb/databook/10/aul_tb10.html,Research Expenditures,LAW,LAW
584,https://www.uwo.ca/ipb/databook/10/aum_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),MEDICINE and DENTISTRY (MEDICINE)
585,https://www.uwo.ca/ipb/databook/10/aud_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (DENTISTRY),MEDICINE and DENTISTRY (DENTISTRY)
586,https://www.uwo.ca/ipb/databook/10/anaetb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),ANAESTHESIA and PERIOPERATIVE MEDICINE
587,https://www.uwo.ca/ipb/databook/10/anattb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),ANATOMY and CELL BIOLOGY
588,https://www.uwo.ca/ipb/databook/10/bioctb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),BIOCHEMISTRY
589,https://www.uwo.ca/ipb/databook/10/clbitb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),CLINICAL BIOCHEMISTRY
590,https://www.uwo.ca/ipb/databook/10/clnrtb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),CLINICAL NEUROLOGICAL SCIENCES
591,https://www.uwo.ca/ipb/databook/10/radntb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),DIAGNOSTIC RADIOLOGY and NUCLEAR MEDICINE
592,https://www.uwo.ca/ipb/databook/10/epidtb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),EPIDEMIOLOGY and BIOSTATISTICS
593,https://www.uwo.ca/ipb/databook/10/fmedtb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),FAMILY MEDICINE
594,https://www.uwo.ca/ipb/databook/10/hms_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),HISTORY OF MEDICINE
595,https://www.uwo.ca/ipb/databook/10/bioptb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),MEDICAL BIOPHYSICS
596,https://www.uwo.ca/ipb/databook/10/meddtb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),MEDICINE (DEPARTMENT)
597,https://www.uwo.ca/ipb/databook/10/m_i_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),MICROBIOLOGY and IMMUNOLOGY
598,https://www.uwo.ca/ipb/databook/10/obs_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),OBSTETRICS and GYNAECOLOGY
599,https://www.uwo.ca/ipb/databook/10/radotb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),ONCOLOGY
600,https://www.uwo.ca/ipb/databook/10/optitb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),OPHTHALMOLOGY
601,https://www.uwo.ca/ipb/databook/10/oto_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),OTOLARYNGOLOGY - HEAD and NECK SURGERY
602,https://www.uwo.ca/ipb/databook/10/ped_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),PAEDIATRICS
603,https://www.uwo.ca/ipb/databook/10/pathtb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),PATHOLOGY and LABORATORY MEDICINE
604,https://www.uwo.ca/ipb/databook/10/pmr_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),PHYSICAL MEDICINE and REHABILITATION
605,https://www.uwo.ca/ipb/databook/10/p_p_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),PHYSIOLOGY and PHARMACOLOGY
606,https://www.uwo.ca/ipb/databook/10/psy_tb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),PSYCHIATRY
607,https://www.uwo.ca/ipb/databook/10/surgtb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),SURGERY
608,https://www.uwo.ca/ipb/databook/10/robatb10.html,Research Expenditures,MEDICINE and DENTISTRY (MEDICINE),ROBARTS RESEARCH INSTITUTE
609,https://www.uwo.ca/ipb/databook/10/aumutb10.html,Research Expenditures,MUSIC,MUSIC
610,https://www.uwo.ca/ipb/databook/10/aus_tb10.html,Research Expenditures,SCIENCE,SCIENCE
611,https://www.uwo.ca/ipb/databook/10/appmtb10.html,Research Expenditures,SCIENCE,APPLIED MATHEMATICS
612,https://www.uwo.ca/ipb/databook/10/bioltb10.html,Research Expenditures,SCIENCE,BIOLOGY
613,https://www.uwo.ca/ipb/databook/10/chemtb10.html,Research Expenditures,SCIENCE,CHEMISTRY
614,https://www.uwo.ca/ipb/databook/10/cscitb10.html,Research Expenditures,SCIENCE,COMPUTER SCIENCE
615,https://www.uwo.ca/ipb/databook/10/escitb10.html,Research Expenditures,SCIENCE,EARTH SCIENCES
616,https://www.uwo.ca/ipb/databook/10/mathtb10.html,Research Expenditures,SCIENCE,MATHEMATICS
617,https://www.uwo.ca/ipb/databook/10/p_a_tb10.html,Research Expenditures,SCIENCE,PHYSICS and ASTRONOMY
618,https://www.uwo.ca/ipb/databook/10/sas_tb10.html,Research Expenditures,SCIENCE,STATISTICAL and ACTUARIAL SCIENCES
619,https://www.uwo.ca/ipb/databook/10/ausstb10.html,Research Expenditures,SOCIAL SCIENCE,SOCIAL SCIENCE
620,https://www.uwo.ca/ipb/databook/10/anthtb10.html,Research Expenditures,SOCIAL SCIENCE,ANTHROPOLOGY
621,https://www.uwo.ca/ipb/databook/10/econtb10.html,Research Expenditures,SOCIAL SCIENCE,ECONOMICS
622,https://www.uwo.ca/ipb/databook/10/geogtb10.html,Research Expenditures,SOCIAL SCIENCE,GEOGRAPHY and ENVIRONMENT
623,https://www.uwo.ca/ipb/databook/10/histtb10.html,Research Expenditures,SOCIAL SCIENCE,HISTORY
624,https://www.uwo.ca/ipb/databook/10/caistb10.html,Research Expenditures,SOCIAL SCIENCE,MANAGEMENT and ORGANIZATIONAL STUDIES
625,https://www.uwo.ca/ipb/databook/10/polstb10.html,Research Expenditures,SOCIAL SCIENCE,POLITICAL SCIENCE
626,https://www.uwo.ca/ipb/databook/10/psyctb10.html,Research Expenditures,SOCIAL SCIENCE,PSYCHOLOGY
627,https://www.uwo.ca/ipb/databook/10/soc_tb10.html,Research Expenditures,SOCIAL SCIENCE,SOCIOLOGY
